зверьми	NOUN,anim,masc plur,ablt,Arch
сказал	VERB,perf,tran masc,sing,past,indc
знакомое	ADJF,Subx,Qual neut,sing,nomn
знакомое	ADJF,Subx,Qual neut,sing,accs
удалиться	INFN,perf,intr
оседлал	VERB,perf,tran masc,sing,past,indc
колечка	NOUN,inan,neut sing,gent
дверями	NOUN,inan,femn plur,ablt
украли	VERB,perf,tran plur,past,indc
брода	NOUN,inan,masc sing,gent
вернее	COMP,Qual
вернее	CONJ,Prnt
смеясь	GRND,impf,intr pres
кругов	NOUN,inan,masc plur,gent
прикажи	VERB,perf,tran sing,impr,excl
происходящим	PRTF,impf,intr,pres,actv masc,sing,ablt
происходящим	PRTF,impf,intr,pres,actv neut,sing,ablt
происходящим	PRTF,impf,intr,pres,actv plur,datv
импорте	NOUN,inan,masc sing,loct
вздремнуть	INFN,perf,intr
тумнусом	NOUN,inan,masc sing,ablt
тумнусом	NOUN,inan,masc sing,ablt
тумнусом	NOUN,anim,masc sing,nomn
тумнусом	NOUN,inan,femn plur,gent
договорить	INFN,perf,tran
постараюсь	VERB,perf,intr sing,1per,futr,indc
ущелья	NOUN,inan,neut sing,gent,V-be
ущелья	NOUN,inan,neut plur,nomn,V-be
ущелья	NOUN,inan,neut plur,accs,V-be
ущелья	NOUN,inan,neut sing,gent
ущелья	NOUN,inan,neut plur,nomn
ущелья	NOUN,inan,neut plur,accs
сладкий	ADJF,Qual masc,sing,nomn
сладкий	ADJF,Qual inan,masc,sing,accs
пересекали	VERB,impf,tran plur,past,indc
воинственный	ADJF,Qual masc,sing,nomn
воинственный	ADJF,Qual inan,masc,sing,accs
стольким	NUMR datv
разит	NOUN,anim,femn,Name plur,gent
разит	NOUN,anim,femn,Name plur,accs
разит	VERB,impf,intr sing,3per,pres,indc
разит	VERB,impf,tran sing,3per,pres,indc
промелькнуло	VERB,perf,intr neut,sing,past,indc
били	VERB,impf,tran plur,past,indc
море	NOUN,inan,masc sing,loct
море	NOUN,anim,femn,Name sing,datv
море	NOUN,anim,femn,Name sing,loct
море	NOUN,inan,neut sing,nomn
море	NOUN,inan,neut sing,accs
море	NOUN,inan,neut sing,loct
путаешь	VERB,impf,tran sing,2per,pres,indc
найдёшь	VERB,perf,tran sing,2per,futr,indc
